1,0,195,5252
1,1,195,5253
3,0,195,5256
3,1,195,5257
0,0,196,5268
0,1,196,5261
1,0,196,5262
1,1,196,5263
2,0,196,5264
2,1,196,5265
0,0,197,5278
0,1,197,5271
1,0,197,5272
1,1,197,5273
2,0,197,5274
2,1,197,5275
1,0,198,5382
1,1,198,5383
2,0,198,5384
2,1,198,5385
3,0,198,5386
3,1,198,5387
1,0,199,5312
1,1,199,5313
2,0,199,5314
2,1,199,5315
3,0,199,5316
3,1,199,5317
0,0,200,5348
0,1,200,5341
1,0,200,5342
1,1,200,5343
3,0,200,5346
3,1,200,5347
0,0,201,5358
0,1,201,5351
1,0,201,5352
1,1,201,5353
3,0,201,5356
3,1,201,5357
0,0,202,5368
0,1,202,5361
1,0,202,5362
1,1,202,5363
2,0,202,5364
2,1,202,5365
0,0,203,5378
0,1,203,5371
1,0,203,5372
1,1,203,5373
2,0,203,5374
2,1,203,5375
1,0,204,5682
1,1,204,5683
2,0,204,5684
2,1,204,5685
3,0,204,5686
3,1,204,5687
1,0,205,5612
1,1,205,5613
2,0,205,5614
2,1,205,5615
3,0,205,5616
3,1,205,5617
0,0,206,5628
0,1,206,5621
2,0,206,5624
2,1,206,5625
3,0,206,5626
3,1,206,5627
0,0,207,5638
0,1,207,5631
2,0,207,5634
2,1,207,5635
3,0,207,5636
3,1,207,5637
